Year,Month,year_month,Os_Company,Range_DPD,Product_final,Payment_for_Fee,PR_amount,Balance
2020,11,11-2020,FBI,0-180,Unsecured Loan,0,0,0
2020,10,10-2020,DK,Deadloan,Credit card,0,"758547688,1",4036431290
2020,4,4-2020,TCG,0-180,Unsecured Loan,76806276,304067702,332372118
2020,7,7-2020,NDC,Deadloan,Unsecured Loan,366,88683689847,735638183573
2020,11,11-2020,AMG,360-720,Unsecured Loan,4000056,1182998276,1974883864
2020,4,4-2020,DK,1080+,Unsecured Loan,5000271,13186499207,37193228011
2020,11,11-2020,HMK,180-360,HHB,8000000,220354871,303655655
2020,8,8-2020,TDO,720-1080,Unsecured Loan,329,63145226260,134788314411
2020,5,5-2020,NDC,720-1080,Unsecured Loan,319423133,131904102302,269076290337
2020,2,2-2020,NDC,360-720,Overdraft,8991314,3507445395,5357966675
2020,4,4-2020,HMK,180-360,Overdraft,1800000,323494409,385652042
2020,1,1-2020,DK,1080+,Credit card,5000000,2457121254,10303736667
2020,8,8-2020,FBI,720-1080,Credit card,32950000,38650238089,97426756197
2020,5,5-2020,NDC,0-180,Credit card,101171264,"299733334,3","311701285,7"
2020,2,2-2020,GLX,360-720,Overdraft,14785954,3603082320,5403848439
2020,7,7-2020,GLX,Deadloan,Credit card,5000000,2318354180,13850052555
2020,6,6-2020,AMG,1080+,HHB,48039266,5671710387,17751048904
2020,1,1-2020,GLX,Deadloan,Credit card,0,2337209540,11463254155
2020,10,10-2020,BFC,1080+,Unsecured Loan,1828,69823839418,199952340072
2020,12,12-2020,AMG,1080+,HHB,8008327,18611407503,62994704352
